filedFor,cik,ticker,no_shares,value,industry
2002-03-31,104889,GHC,1727765,1048805000,Consumer Defensive
2002-03-31,105598,WFC,53265080,2631295000,Financial Services
2002-03-31,105729,WSC1,5703087,1782785000,Unknown
2002-03-31,1059556,DUT,24000000,986400000,Unknown
2002-03-31,109261,ZNT,816655,23846000,Unknown
2002-03-31,12659,HRB,15999200,711164000,Consumer Cyclical
2002-03-31,21344,KO,200000000,10452001000,Consumer Defensive
2002-03-31,29905,DOV,2165100,88769000,Industrials
2002-03-31,320187,NKE,4930700,296416000,Consumer Cyclical
2002-03-31,320335,GL,2073462,83541000,Financial Services
2002-03-31,352363,KATE,334200,9478000,Unknown
2002-03-31,36270,MTB,6708760,539183000,Financial Services
2002-03-31,39899,TGNA,3636800,276760000,Communication Services
2002-03-31,40211,GATX,7340700,233434000,Industrials
2002-03-31,41499,G1,96000000,3264960000,Unknown
2002-03-31,43362,GLK1,6948700,195745000,Unknown
2002-03-31,750556,STI1,5806300,387455000,Unknown
2002-03-31,757011,USG1,6500000,45500000,Unknown
2002-03-31,874691,OSI2,1867500,66800000,Unknown
2002-03-31,922812,AXP,151610700,6209973000,Financial Services
2002-03-31,932872,SJR/BEUR,22000000,395560000,Unknown
2002-06-30,104889,GHC,1727765,941632000,Consumer Defensive
2002-06-30,105598,WFC,53265080,2666450000,Financial Services
2002-06-30,105729,WSC1,5703087,1720051000,Unknown
2002-06-30,1059556,DUT,24000000,1194000000,Unknown
2002-06-30,109261,ZNT,451355,14376000,Unknown
2002-06-30,12659,HRB,15999200,738363000,Consumer Cyclical
2002-06-30,21344,KO,200000000,11200001000,Consumer Defensive
2002-06-30,29905,DOV,2165100,75778000,Industrials
2002-06-30,320187,NKE,4405700,236366000,Consumer Cyclical
2002-06-30,320335,GL,2073462,79207000,Financial Services
2002-06-30,36270,MTB,6708760,575343000,Financial Services
2002-06-30,39899,TGNA,3636800,276033000,Communication Services
2002-06-30,40211,GATX,7340700,220955000,Industrials
2002-06-30,41499,G1,96000000,3251520000,Unknown
2002-06-30,43362,GLK1,6948700,184071000,Unknown
2002-06-30,750556,STI1,5806300,393202000,Unknown
2002-06-30,757011,USG1,6500000,46475000,Unknown
2002-06-30,874691,OSI2,1867500,65549000,Unknown
2002-06-30,922812,AXP,151610700,5506501000,Financial Services
2002-06-30,932872,SJR/BEUR,22000000,246400000,Unknown
2002-09-30,1012100,SEE 2 04/01/18 A,679500,15499000,Unknown
2002-09-30,1020882,IRM,6671200,166723000,Real Estate
2002-09-30,104889,GHC,1727765,1121319000,Consumer Defensive
2002-09-30,105598,WFC,53265080,2565246000,Financial Services
2002-09-30,105729,WSC1,5703087,1753699000,Unknown
2002-09-30,1059556,DNB1,1289100,43327000,Unknown
2002-09-30,1059556,DUT,24000000,1164000000,Unknown
2002-09-30,109261,ZNT,451355,11925000,Unknown
2002-09-30,12659,HRB,15999200,672126000,Consumer Cyclical
2002-09-30,1393231,COST,5606409,181479000,Consumer Defensive
2002-09-30,21344,KO,200000000,9592000000,Consumer Defensive
2002-09-30,29905,DOV,2479200,62922000,Industrials
2002-09-30,29989,OMC,500000,27840000,Communication Services
2002-09-30,320187,NKE,6000000,259080000,Consumer Cyclical
2002-09-30,320335,GL,2073462,71037000,Financial Services
2002-09-30,36270,MTB,6708760,528717000,Financial Services
2002-09-30,39899,TGNA,3636800,262504000,Communication Services
2002-09-30,39911,GAP,20000000,217000000,Consumer Cyclical
2002-09-30,40211,GATX,7340700,145346000,Industrials
2002-09-30,41499,G1,96000000,2841600000,Unknown
2002-09-30,43362,GLK1,6948700,166908000,Unknown
2002-09-30,750556,STI1,5806300,356972000,Unknown
2002-09-30,757011,USG1,6500000,26000000,Unknown
2002-09-30,836102,TT2,3232000,205620000,Unknown
2002-09-30,874016,JNY,3211300,98587000,Unknown
2002-09-30,874691,OSI2,1867500,51319000,Unknown
2002-09-30,88204,SEE,2492800,42103000,Consumer Cyclical
2002-09-30,89439,MLI,2480900,64255000,Industrials
2002-09-30,922812,AXP,151610700,4727222000,Financial Services
2002-09-30,932872,SJR/BEUR,22000000,183040000,Unknown
2002-12-31,1012100,SEE 2 04/01/18 A,704500,30012000,Unknown
2002-12-31,1020882,IRM,8000000,264080000,Real Estate
2002-12-31,104889,GHC,1727765,1275091000,Consumer Defensive
2002-12-31,105598,WFC,53265080,2496535000,Financial Services
2002-12-31,105729,WSC1,5703087,1767672000,Unknown
2002-12-31,1059556,DNB1,1067900,36832000,Unknown
2002-12-31,1059556,DUT,24000000,990960000,Unknown
2002-12-31,109261,ZNT,451355,10592000,Unknown
2002-12-31,1179484,CDCO,1452549,113299000,Unknown
2002-12-31,12659,HRB,15999200,643168000,Consumer Cyclical
2002-12-31,1393231,COST,5254000,147427000,Consumer Defensive
2002-12-31,21344,KO,200000000,8768001000,Consumer Defensive
2002-12-31,29905,DOV,4000000,116640000,Industrials
2002-12-31,320187,NKE,6000000,266820000,Consumer Cyclical
2002-12-31,320335,GL,1938179,70802000,Financial Services
2002-12-31,36270,MTB,6708760,532341000,Financial Services
2002-12-31,39899,TGNA,3636800,261122000,Communication Services
2002-12-31,39911,GAP,20000000,310400000,Consumer Cyclical
2002-12-31,40211,GATX,7340700,167515000,Industrials
2002-12-31,41499,G1,96000000,2914560000,Unknown
2002-12-31,43362,GLK1,6948700,165935000,Unknown
2002-12-31,713676,PNC,715000,29959000,Financial Services
2002-12-31,750556,STI1,5806300,330494000,Unknown
2002-12-31,757011,USG1,6500000,54925000,Unknown
2002-12-31,764478,BBY,542800,13109000,Consumer Cyclical
2002-12-31,836102,TT2,3232000,229924000,Unknown
2002-12-31,874016,JNY,894200,31690000,Unknown
2002-12-31,874691,OSI2,1867500,64317000,Unknown
2002-12-31,88204,SEE,2492800,92981000,Consumer Cyclical
2002-12-31,89439,MLI,2480900,67605000,Industrials
2002-12-31,922812,AXP,151610700,5359437000,Financial Services
2002-12-31,932872,SJR/BEUR,22000000,226160000,Unknown
2003-03-31,1012100,SEE 2 04/01/18 A,704500,32393000,Unknown
2003-03-31,104889,GHC,1727765,1177230000,Consumer Defensive
2003-03-31,105598,WFC,53265080,2396396000,Financial Services
2003-03-31,105729,WSC1,5703087,1699520000,Unknown
2003-03-31,1059556,DNB1,680000,26010000,Unknown
2003-03-31,1059556,DUT,24000000,1109520000,Unknown
2003-03-31,109261,ZNT,451355,9660000,Unknown
2003-03-31,1108329,PC6A,718800,14994000,Unknown
2003-03-31,1179484,CDCO,1468573,197743000,Unknown
2003-03-31,1195454,WTEL,1590696,20043000,Unknown
2003-03-31,12659,HRB,15999200,683006000,Consumer Cyclical
2003-03-31,1393231,COST,5254000,157778000,Consumer Defensive
2003-03-31,21344,KO,200000000,8096000000,Consumer Defensive
2003-03-31,29905,DOV,4500000,108990000,Industrials
2003-03-31,320187,NKE,6000000,308520000,Consumer Cyclical
2003-03-31,320335,GL,1938179,69386000,Financial Services
2003-03-31,36270,MTB,6708760,527175000,Financial Services
2003-03-31,39899,TGNA,3636800,256140000,Communication Services
2003-03-31,39911,GAP,20000000,289800000,Consumer Cyclical
2003-03-31,40211,GATX,7340700,106293000,Industrials
2003-03-31,41499,G1,96000000,2970240000,Unknown
2003-03-31,43362,GLK1,6948700,154261000,Unknown
2003-03-31,750556,STI1,5806300,305702000,Unknown
2003-03-31,757011,USG1,6500000,27040000,Unknown
2003-03-31,794323,LVLT,879000,4536000,Unknown
2003-03-31,836102,TT2,3232000,222264000,Unknown
2003-03-31,874691,OSI2,1867500,66072000,Unknown
2003-03-31,88204,SEE,2492800,100036000,Consumer Cyclical
2003-03-31,89439,MLI,2480900,61948000,Industrials
2003-03-31,922812,AXP,151610700,5038024000,Financial Services
2003-03-31,932872,SJR/BEUR,22000000,231200000,Unknown
2003-06-30,1012100,SEE 2 04/01/18 A,704500,35894000,Unknown
2003-06-30,104889,GHC,1727765,1246278000,Consumer Defensive
2003-06-30,105598,WFC,53603380,2701611000,Financial Services
2003-06-30,105729,WSC1,5703087,1779363000,Unknown
2003-06-30,1059556,DNB1,389700,16017000,Unknown
2003-06-30,1059556,DUT,24000000,1265040000,Unknown
2003-06-30,109261,ZNT,167055,4761000,Unknown
2003-06-30,1108329,PC6A,659000,19902000,Unknown
2003-06-30,1179484,CDCO,1477453,146268000,Unknown
2003-06-30,12659,HRB,15999200,691965000,Consumer Cyclical
2003-06-30,1393231,COST,5254000,192296000,Consumer Defensive
2003-06-30,21344,KO,200000000,9282000000,Consumer Defensive
2003-06-30,29905,DOV,4500000,134820000,Industrials
2003-06-30,320187,NKE,6000000,320940000,Consumer Cyclical
2003-06-30,320335,GL,1938179,72197000,Financial Services
2003-06-30,36270,MTB,6708760,565011000,Financial Services
2003-06-30,39899,TGNA,3636800,279343000,Communication Services
2003-06-30,39911,GAP,20000000,375200000,Consumer Cyclical
2003-06-30,40211,GATX,2228900,36443000,Industrials
2003-06-30,41499,G1,96000000,3058560000,Unknown
2003-06-30,43362,GLK1,4348700,88713000,Unknown
2003-06-30,750556,STI1,5806300,344545000,Unknown
2003-06-30,757011,USG1,6500000,123500000,Unknown
2003-06-30,836102,TT2,3232000,238942000,Unknown
2003-06-30,874691,OSI2,1867500,72832000,Unknown
2003-06-30,88204,SEE,1569600,74807000,Consumer Cyclical
2003-06-30,89439,MLI,2480900,67257000,Industrials
2003-06-30,922812,AXP,151610700,6338843000,Financial Services
2003-06-30,932872,SJR/BEUR,22000000,295900000,Unknown
2003-09-30,1020882,IRM,5018500,180164000,Real Estate
2003-09-30,104889,GHC,1727765,1148964000,Consumer Defensive
2003-09-30,105598,WFC,56448380,2907091000,Financial Services
2003-09-30,105729,WSC1,5703087,1938878000,Unknown
2003-09-30,1059556,DNB1,136000,5649000,Unknown
2003-09-30,1059556,DUT,24000000,1319280000,Unknown
2003-09-30,109261,ZNT,167055,4647000,Unknown
2003-09-30,1108329,PC6A,659000,22110000,Unknown
2003-09-30,1179484,CDCO,1486375,124855000,Unknown
2003-09-30,12659,HRB,15999200,690365000,Consumer Cyclical
2003-09-30,1393231,COST,5254000,163662000,Consumer Defensive
2003-09-30,21344,KO,200000000,8592000000,Consumer Defensive
2003-09-30,29905,DOV,3129300,110683000,Industrials
2003-09-30,30371,DUK,1418800,25269000,Utilities
2003-09-30,311314,HCA,17900700,659820000,Healthcare
2003-09-30,320187,NKE,6000000,364920000,Consumer Cyclical
2003-09-30,320335,GL,1938179,78768000,Financial Services
2003-09-30,36270,MTB,6708760,585675000,Financial Services
2003-09-30,39899,TGNA,3636800,282070000,Communication Services
2003-09-30,39911,GAP,20000000,342400000,Consumer Cyclical
2003-09-30,41499,G1,96000000,3070080000,Unknown
2003-09-30,43362,GLK1,547700,11014000,Unknown
2003-09-30,4962,AXP,8000000,319680000,Financial Services
2003-09-30,750556,STI1,5806300,350526000,Unknown
2003-09-30,757011,USG1,6500000,112060000,Unknown
2003-09-30,794323,LVLT,1644900,8915000,Unknown
2003-09-30,836102,TT2,3232000,272296000,Unknown
2003-09-30,8670,ADP,1649000,59117000,Technology
2003-09-30,874691,OSI2,1867500,70722000,Unknown
2003-09-30,88204,SEE,1123800,53077000,Consumer Cyclical
2003-09-30,89439,MLI,2480900,63139000,Industrials
2003-09-30,922812,AXP,151610700,6831578000,Financial Services
2003-09-30,932872,SJR/BEUR,22000000,267520000,Unknown
2003-12-31,1020882,IRM,5018500,198431000,Real Estate
2003-12-31,104889,GHC,1727765,1367353000,Consumer Defensive
2003-12-31,105598,WFC,56448380,3324246000,Financial Services
2003-12-31,105729,WSC1,5703087,1996080000,Unknown
2003-12-31,1059556,DUT,24000000,1453200000,Unknown
2003-12-31,109261,ZNT,157055,5112000,Unknown
2003-12-31,1108329,PC6A,659000,37596000,Unknown
2003-12-31,1179484,CDCO,1489414,59577000,Unknown
2003-12-31,12659,HRB,14610900,809006000,Consumer Cyclical
2003-12-31,1393231,COST,5254000,195344000,Consumer Defensive
2003-12-31,21344,KO,200000000,10149999000,Consumer Defensive
2003-12-31,29905,DOV,2000000,79500000,Industrials
2003-12-31,311314,HCA,15476500,664870000,Healthcare
2003-12-31,320187,NKE,6000000,410760000,Consumer Cyclical
2003-12-31,320335,GL,1938179,88264000,Financial Services
2003-12-31,36270,MTB,6708760,659471000,Financial Services
2003-12-31,39899,TGNA,3456600,308190000,Communication Services
2003-12-31,39911,GAP,15000000,348150000,Consumer Cyclical
2003-12-31,41499,G1,96000000,3526080000,Unknown
2003-12-31,4962,AXP,8000000,328720000,Financial Services
2003-12-31,744473,CDSCY,10000000,73311000,Unknown
2003-12-31,750556,STI1,5806300,415150000,Unknown
2003-12-31,757011,USG1,6500000,107705000,Unknown
2003-12-31,836102,TT2,3232000,325462000,Unknown
2003-12-31,8670,ADP,1415700,56076000,Technology
2003-12-31,874691,OSI2,1867500,82562000,Unknown
2003-12-31,88204,SEE,1123800,60843000,Consumer Cyclical
2003-12-31,89439,MLI,2446900,84075000,Industrials
2003-12-31,922812,AXP,151610700,7312184000,Financial Services
2003-12-31,932872,SJR/BEUR,22000000,341440000,Unknown
2004-03-31,1020882,IRM,5018500,223976000,Real Estate
2004-03-31,104889,GHC,1727765,1528053000,Consumer Defensive
2004-03-31,105598,WFC,56448380,3198929000,Financial Services
2004-03-31,105729,WSC1,5703087,2207095000,Unknown
2004-03-31,1059556,DUT,24000000,1699200000,Unknown
2004-03-31,109261,ZNT,126855,4973000,Unknown
2004-03-31,1108329,PC6A,659000,33675000,Unknown
2004-03-31,1179484,CDCO,1489430,55109000,Unknown
2004-03-31,12659,HRB,14350600,732311000,Consumer Cyclical
2004-03-31,1393231,COST,5254000,197603000,Consumer Defensive
2004-03-31,21344,KO,200000000,10060001000,Consumer Defensive
2004-03-31,311314,HCA,15476500,628655000,Healthcare
2004-03-31,320187,NKE,6000000,467220000,Consumer Cyclical
2004-03-31,320335,GL,1938179,104253000,Financial Services
2004-03-31,36270,MTB,6708760,602782000,Financial Services
2004-03-31,39899,TGNA,3456600,304664000,Communication Services
2004-03-31,39911,GAP,15000000,328800000,Consumer Cyclical
2004-03-31,41499,G1,96000000,3753600000,Unknown
2004-03-31,4962,AXP,8000000,337280000,Financial Services
2004-03-31,750556,STI1,5806300,404758000,Unknown
2004-03-31,757011,USG1,6500000,113685000,Unknown
2004-03-31,836102,TT2,3232000,367640000,Unknown
2004-03-31,874691,OSI2,1818800,88576000,Unknown
2004-03-31,88204,SEE,1123800,55867000,Consumer Cyclical
2004-03-31,89439,MLI,2446900,83170000,Industrials
2004-03-31,922812,AXP,151610700,7861015000,Financial Services
2004-03-31,932872,SJR/BEUR,22000000,359260000,Unknown
2004-06-30,1017968,EDGW,8000000,141520000,Unknown
2004-06-30,1020882,IRM,5018500,242193000,Real Estate
2004-06-30,104889,GHC,1727765,1606839000,Consumer Defensive
2004-06-30,105598,WFC,56448380,3230541000,Financial Services
2004-06-30,105729,WSC1,5703087,2064517000,Unknown
2004-06-30,1059556,DUT,24000000,1551840000,Unknown
2004-06-30,109261,ZNT,53955,2622000,Unknown
2004-06-30,1108329,PC6A,659000,30511000,Unknown
2004-06-30,1179484,CDCO,1489628,38730000,Unknown
2004-06-30,12659,HRB,14350600,684237000,Consumer Cyclical
2004-06-30,1393231,COST,5254000,216360000,Consumer Defensive
2004-06-30,21344,KO,200000000,10096000000,Consumer Defensive
2004-06-30,311314,HCA,14566100,605804000,Healthcare
2004-06-30,320187,NKE,6000000,454500000,Consumer Cyclical
2004-06-30,320335,GL,1938179,104274000,Financial Services
2004-06-30,36270,MTB,6708760,585675000,Financial Services
2004-06-30,39899,TGNA,3447600,292529000,Communication Services
2004-06-30,39911,GAP,15000000,363750000,Consumer Cyclical
2004-06-30,41499,G1,96000000,4070400000,Unknown
2004-06-30,4962,AXP,8000000,356160000,Financial Services
2004-06-30,750556,STI1,5806300,377351000,Unknown
2004-06-30,757011,USG1,6500000,114270000,Unknown
2004-06-30,836102,TT2,10497900,423170000,Unknown
2004-06-30,874691,OSI2,1818800,75226000,Unknown
2004-06-30,88204,SEE,1113300,59305000,Consumer Cyclical
2004-06-30,89439,MLI,1929800,69087000,Industrials
2004-06-30,922812,AXP,151610700,7789757000,Financial Services
2004-06-30,932872,SJR/BEUR,22000000,369820000,Unknown
2004-09-30,1017968,EDGW,8000000,144640000,Unknown
2004-09-30,1020882,IRM,6935750,234775000,Real Estate
2004-09-30,104889,GHC,1727765,1589544000,Consumer Defensive
2004-09-30,1052045,SVM1,5611600,72165000,Unknown
2004-09-30,105598,WFC,56448380,3366016000,Financial Services
2004-09-30,105729,WSC1,5703087,2004635000,Unknown
2004-09-30,1059556,DUT,24000000,1758000000,Unknown
2004-09-30,1108329,PC6A,659000,35428000,Unknown
2004-09-30,1179484,CDCO,1489628,31654000,Unknown
2004-09-30,12659,HRB,14350600,709207000,Consumer Cyclical
2004-09-30,1393231,COST,5254000,218094000,Consumer Defensive
2004-09-30,21344,KO,200000000,8010000000,Consumer Defensive
2004-09-30,22301,CMCSA,5000000,139600000,Communication Services
2004-09-30,311314,HCA,13500200,515033000,Healthcare
2004-09-30,320187,NKE,6000000,472800000,Consumer Cyclical
2004-09-30,320335,GL,2029379,107922000,Financial Services
2004-09-30,36270,MTB,6708760,642028000,Financial Services
2004-09-30,39899,TGNA,3447600,288771000,Communication Services
2004-09-30,39911,GAP,15000000,279750000,Consumer Cyclical
2004-09-30,41499,G1,96000000,4007040000,Unknown
2004-09-30,4962,AXP,8000000,348000000,Financial Services
2004-09-30,757011,USG1,6500000,118495000,Unknown
2004-09-30,836102,TT2,10497900,408473000,Unknown
2004-09-30,874691,OSI2,1818800,75535000,Unknown
2004-09-30,88204,SEE,1113300,51601000,Consumer Cyclical
2004-09-30,89439,MLI,1361900,58494000,Industrials
2004-09-30,922812,AXP,151610700,7801887000,Financial Services
2004-09-30,932872,SJR/BEUR,22000000,366960000,Unknown
2004-12-31,1017968,EDGW,8000000,157600000,Unknown
2004-12-31,1020882,IRM,5000000,152450000,Real Estate
2004-12-31,104889,GHC,1727765,1698428000,Consumer Defensive
2004-12-31,1052045,SVM1,5611600,77384000,Unknown
2004-12-31,105598,WFC,56448380,3508265000,Financial Services
2004-12-31,105729,WSC1,5703087,2241313000,Unknown
2004-12-31,1059556,DUT,24000000,2084400000,Unknown
2004-12-31,1108329,PC6A,659000,35382000,Unknown
2004-12-31,1179484,CDCO,1509433,33676000,Unknown
2004-12-31,12659,HRB,14350600,703179000,Consumer Cyclical
2004-12-31,1393231,COST,5254000,254346000,Consumer Defensive
2004-12-31,21344,KO,200000000,8328000000,Consumer Defensive
2004-12-31,22301,CMCSA,10000000,328400000,Communication Services
2004-12-31,320187,NKE,2500000,226725000,Consumer Cyclical
2004-12-31,320335,GL,2038979,116506000,Financial Services
2004-12-31,36270,MTB,6708760,723473000,Financial Services
2004-12-31,39899,TGNA,3447600,281668000,Communication Services
2004-12-31,39911,GAP,15434243,325971000,Consumer Cyclical
2004-12-31,41499,G1,96000000,4298880000,Unknown
2004-12-31,4962,AXP,8000000,340320000,Financial Services
2004-12-31,757011,USG1,6500000,261755000,Unknown
2004-12-31,836102,TT2,10497900,433773000,Unknown
2004-12-31,874691,OSI2,1818800,83265000,Unknown
2004-12-31,88204,SEE,1113300,59305000,Consumer Cyclical
2004-12-31,89439,MLI,1361900,43853000,Industrials
2004-12-31,922812,AXP,151610700,8546296000,Financial Services
2004-12-31,931336,DFODQ,375500,12373000,Unknown
2004-12-31,932872,SJR/BEUR,22000000,402380000,Unknown
2005-03-31,1017968,EDGW,8000000,145840000,Unknown
2005-03-31,1020882,IRM,5000000,144200000,Real Estate
2005-03-31,104889,GHC,1727765,1544623000,Consumer Defensive
2005-03-31,1052045,SVM1,5611600,75757000,Unknown
2005-03-31,105598,WFC,56448380,3375614000,Financial Services
2005-03-31,105729,WSC1,5703087,2195574000,Unknown
2005-03-31,1059556,DUT,24000000,1940640000,Unknown
2005-03-31,1108329,PC6A,659000,41662000,Unknown
2005-03-31,1179484,CDCO,1518978,21266000,Unknown
2005-03-31,12659,HRB,13510900,683381000,Consumer Cyclical
2005-03-31,1393231,COST,5254000,232122000,Consumer Defensive
2005-03-31,21344,KO,200000000,8334000000,Consumer Defensive
2005-03-31,22301,CMCSA,10000000,334400000,Communication Services
2005-03-31,320187,NKE,2474600,206159000,Consumer Cyclical
2005-03-31,320335,GL,2074879,108308000,Financial Services
2005-03-31,36270,MTB,6708760,684696000,Financial Services
2005-03-31,39899,TGNA,3447600,272636000,Communication Services
2005-03-31,39911,GAP,15434243,337084000,Consumer Cyclical
2005-03-31,41499,G1,100980000,5097470000,Unknown
2005-03-31,4962,AXP,8000000,314480000,Financial Services
2005-03-31,757011,USG1,6500000,215540000,Unknown
2005-03-31,80424,PG,630000,33390000,Consumer Defensive
2005-03-31,836102,TT2,10497900,487942000,Unknown
2005-03-31,874691,OSI2,1818800,83283000,Unknown
2005-03-31,88204,SEE,1113300,57825000,Consumer Cyclical
2005-03-31,89439,MLI,851800,23978000,Industrials
2005-03-31,922812,AXP,151610700,7788242000,Financial Services
2005-03-31,931336,DFODQ,375500,12880000,Unknown
2005-03-31,932872,SJR/BEUR,22000000,448360000,Unknown
2005-06-30,1017968,EDGW,8000000,113520000,Unknown
2005-06-30,1020882,IRM,5000000,155100000,Real Estate
2005-06-30,104889,GHC,1727765,1442736000,Consumer Defensive
2005-06-30,1052045,SVM1,5611600,75195000,Unknown
2005-06-30,105598,WFC,56448380,3476090000,Financial Services
2005-06-30,105729,WSC1,5703087,2053111000,Unknown
2005-06-30,1059556,DUT,48000000,2158080000,Unknown
2005-06-30,1108329,PC6A,659000,48404000,Unknown
2005-06-30,1179484,CDCO,1518978,22784000,Unknown
2005-06-30,1393231,COST,5254000,235011000,Consumer Defensive
2005-06-30,21344,KO,200000000,8350000000,Consumer Defensive
2005-06-30,22301,CMCSA,10000000,299500000,Communication Services
2005-06-30,320187,NKE,2474600,214300000,Consumer Cyclical
2005-06-30,354950,HD,945000,36760000,Consumer Cyclical
2005-06-30,36270,MTB,6708760,705493000,Financial Services
2005-06-30,39899,TGNA,3447600,245228000,Communication Services
2005-06-30,39911,GAP,15434243,304826000,Consumer Cyclical
2005-06-30,41499,G1,100980000,5112617000,Unknown
2005-06-30,4962,AXP,8625000,346208000,Financial Services
2005-06-30,60667,LOW,390000,22706000,Consumer Cyclical
2005-06-30,745448,LXKEUR,1000000,64830000,Unknown
2005-06-30,750556,STI1,3204600,231500000,Unknown
2005-06-30,757011,USG1,6500000,276250000,Unknown
2005-06-30,80424,PG,630000,33232000,Consumer Defensive
2005-06-30,833444,ADT2,5000000,146000000,Unknown
2005-06-30,836102,TT2,10497900,440072000,Unknown
2005-06-30,874691,OSI2,1818800,82283000,Unknown
2005-06-30,88204,SEE,1113300,55431000,Consumer Cyclical
2005-06-30,89439,MLI,851800,23084000,Industrials
2005-06-30,922812,AXP,151610700,8070237000,Financial Services
2005-06-30,931336,DFODQ,375500,13233000,Unknown
2005-06-30,932872,SJR/BEUR,22000000,456940000,Unknown
2005-09-30,1017968,EDGW,3290000,37078000,Unknown
2005-09-30,1020882,IRM,5000000,183500000,Real Estate
2005-09-30,104889,GHC,1727765,1386531000,Consumer Defensive
2005-09-30,1052045,SVM1,5611600,75981000,Unknown
2005-09-30,105729,WSC1,5703087,1951026000,Unknown
2005-09-30,1059556,DUT,48000000,2451840000,Unknown
2005-09-30,1108329,PC6A,659000,54941000,Unknown
2005-09-30,1179484,CDCO,1518978,26582000,Unknown
2005-09-30,1393231,COST,5254000,226395000,Consumer Defensive
2005-09-30,21344,KO,200000000,8638000000,Consumer Defensive
2005-09-30,22301,CMCSA,11110200,319752000,Communication Services
2005-09-30,320187,NKE,2474600,202125000,Consumer Cyclical
2005-09-30,354950,HD,5000000,190700000,Consumer Cyclical
2005-09-30,36270,MTB,6708760,709183000,Financial Services
2005-09-30,39899,TGNA,3447600,237298000,Communication Services
2005-09-30,39911,GAP,15434243,269019000,Consumer Cyclical
2005-09-30,41499,G1,100980000,5877036000,Unknown
2005-09-30,4962,AXP,8625000,345000000,Financial Services
2005-09-30,60667,LOW,390000,25116000,Consumer Cyclical
2005-09-30,745448,LXKEUR,1000000,61050000,Unknown
2005-09-30,750556,STI1,3204600,222559000,Unknown
2005-09-30,757011,USG1,6500000,446680000,Unknown
2005-09-30,80424,PG,630000,37460000,Consumer Defensive
2005-09-30,820027,A4S,30322137,1085532000,Unknown
2005-09-30,833444,ADT2,10000000,278500000,Unknown
2005-09-30,836102,TT2,10497900,488677000,Unknown
2005-09-30,874691,OSI2,1818800,66568000,Unknown
2005-09-30,88204,SEE,1113300,52837000,Consumer Cyclical
2005-09-30,89439,MLI,851800,23654000,Industrials
2005-09-30,922812,AXP,151610700,7622986000,Financial Services
2005-09-30,932872,SJR/BEUR,7101500,148918000,Unknown
2005-12-31,1017968,EDGW,3290000,28722000,Unknown
2005-12-31,1020882,IRM,3948800,166718000,Real Estate
2005-12-31,104169,WMT,19944300,933393000,Consumer Defensive
2005-12-31,104889,GHC,1727765,1321741000,Consumer Defensive
2005-12-31,1052045,SVM1,5611600,67059000,Unknown
2005-12-31,105598,WFC,85092200,5346342000,Financial Services
2005-12-31,105729,WSC1,5703087,2195688000,Unknown
2005-12-31,1059556,DUT,48000000,2948160000,Unknown
2005-12-31,1108329,PC6A,659000,54012000,Unknown
2005-12-31,1179484,CDCO,1518978,27342000,Unknown
2005-12-31,12659,HRB,18538100,455110000,Consumer Cyclical
2005-12-31,1393231,COST,5254000,259915000,Consumer Defensive
2005-12-31,21344,KO,200000000,8062001000,Consumer Defensive
2005-12-31,22301,CMCSA,11110200,285421000,Communication Services
2005-12-31,310569,BUD1,43854200,1883976000,Unknown
2005-12-31,320187,NKE,2474600,214771000,Consumer Cyclical
2005-12-31,320335,GL,2823879,157008000,Financial Services
2005-12-31,354950,HD,5000000,202400000,Consumer Cyclical
2005-12-31,36270,MTB,6708760,731590000,Financial Services
2005-12-31,39899,TGNA,3447600,208821000,Communication Services
2005-12-31,39911,GAP,10000000,176400000,Consumer Cyclical
2005-12-31,4962,AXP,10000000,430100000,Financial Services
2005-12-31,60667,LOW,390000,25997000,Consumer Cyclical
2005-12-31,745448,LXKEUR,3000000,134490000,Unknown
2005-12-31,750556,STI1,3204600,233167000,Unknown
2005-12-31,757011,USG1,6500000,422500000,Unknown
2005-12-31,80424,PG,100000000,5787999000,Consumer Defensive
2005-12-31,820027,A4S,30322137,1243208000,Unknown
2005-12-31,833444,ADT2,10000000,288600000,Unknown
2005-12-31,836102,TT2,10497900,419391000,Unknown
2005-12-31,874691,OSI2,1818800,75680000,Unknown
2005-12-31,88204,SEE,955600,53676000,Consumer Cyclical
2005-12-31,89439,MLI,784500,21511000,Industrials
2005-12-31,922812,AXP,151610700,7801887000,Financial Services
2006-03-31,1017968,EDGW,3290000,38197000,Unknown
2006-03-31,1020882,IRM,3483300,141910000,Real Estate
2006-03-31,104169,WMT,19944300,942169000,Consumer Defensive
2006-03-31,104889,GHC,1727765,1342042000,Consumer Defensive
2006-03-31,1052045,SVM1,4384400,57523000,Unknown
2006-03-31,105598,WFC,92580600,5913118000,Financial Services
2006-03-31,105729,WSC1,5703087,2275532000,Unknown
2006-03-31,1059556,DUT,48000000,3430080000,Unknown
2006-03-31,1108329,PC6A,659000,69162000,Unknown
2006-03-31,1179484,CDCO,1523446,18875000,Unknown
2006-03-31,12659,HRB,16061100,347723000,Consumer Cyclical
2006-03-31,1393231,COST,5254000,284557000,Consumer Defensive
2006-03-31,21344,KO,200000000,8373998000,Consumer Defensive
2006-03-31,22301,CMCSA,11110200,290198000,Communication Services
2006-03-31,310569,BUD1,43854200,1875644000,Unknown
2006-03-31,320187,NKE,2474600,210588000,Consumer Cyclical
