,Basic Materials_lr,Communication Services_lr,Consumer Cyclical_lr,Consumer Defensive_lr,Energy_lr,Financial Services_lr,Healthcare_lr,Industrials_lr,Real Estate_lr,Technology_lr,Utilities_lr,portfolio_value_ln
Basic Materials_w,0.005041534731636783,-0.009605086585241476,-0.000383611782110555,-0.019956126388465733,-0.004384843869068021,0.003105757296049094,0.004144840306855576,0.008695802539601859,-0.003210980295139521,0.000515464425897864,0.016504887014185624,-0.05310782237028343
Communication Services_w,0.021420753952960586,-0.017263077343298915,0.003464932667115672,-0.060319154099071154,-0.008821770830942826,0.0677120717923711,0.07301500937542005,-0.04834022678960473,-0.017952468150165542,-0.03498394389615437,0.03574082074889706,1.0995391082756307
Consumer Cyclical_w,0.013833947610910315,-0.0044701071718042246,-0.028280187272372803,-0.0718681918384048,-0.004647150844211594,0.028980223131388587,-0.02046825037772799,0.015717040176393603,0.0009489668117435499,0.015877064831320755,0.013371527527882392,-0.8633948619936438
Consumer Defensive_w,-0.05316783153978677,-0.0411970864853633,-0.045994837173776226,0.25845666620735286,0.05126900947278472,-0.128810189041986,-0.1906178575398712,0.12315811528357934,0.04063838631961186,0.03868272513021387,-0.04545945607334853,-14.926107520802873
Energy_w,-0.1381574261207133,-0.011118246220551211,-0.024979995649679093,0.12773171024654623,0.035810530984114915,0.015406600416476453,-0.11479267176744555,0.18141965691171824,-0.10649086108924116,0.01296297325552315,-0.019504738563568907,2.020194569195273
Financial Services_w,0.02021200377711252,0.018009498562653242,0.006697130211568342,-0.07479792265207491,-0.06605784125688863,0.0489735415374285,0.09106050026938883,-0.06706353133404397,0.0651731369311166,-0.044798114068620165,0.1312348396669763,-6.147147860839226
Healthcare_w,-0.006841734559747327,-0.008547979339379641,0.00535462242014704,0.11841565768858112,0.014081357658686976,-0.10274139846901117,-0.006032969946817547,0.041830428394783875,0.006828615974775087,0.0170527364700444,-0.03818407476818418,-0.24897465299581442
Industrials_w,0.03419844138499575,-0.037940312023180385,-0.01933371910408408,-0.09975250301808412,-0.04582510712724709,0.04489635168715317,0.025959378128490116,0.001481793129956388,-0.02210667009023206,0.024028431964738972,0.04870811102595521,-0.25276672006877715
Real Estate_w,0.0007489361841067198,0.005140873853540252,-0.010912839512116308,-0.009503770409372477,1.4023199094232309e-05,0.0008435789905410962,-0.001393269783341747,0.002726475200794428,0.004136014590542374,0.005106729105632151,-0.000738053568594728,-0.11505328930075363
Technology_w,0.10311845828792177,0.10673532159483717,0.11032380919379048,-0.17093128690589957,0.028579081364291083,0.025248994471626714,0.13884476661293743,-0.2604380703153189,0.04144880588910155,-0.035135041654398076,-0.14220388709208123,19.54055423866089
Utilities_w,-0.00040708370939705925,0.0002562011577884843,0.004044696001517523,0.0025249211688926076,-1.7288750613768692e-05,-0.0036155318120375556,0.0002805247221120376,0.0008125168021398703,-0.009412946892112733,0.0006909744358014488,0.0005300240818809907,-0.05373518776041877
